name,type,lat,lon
A.P.E.S.,school,14.5355177,-4.0950366
ALMADARASSATOU ALPHA NOUHOU TAHER,school,14.5355151,-4.0950453
ALMAMY SIDIBE,school,14.5355014,-4.0949903
ASSADIATOU [1er C],school,14.5355235,-4.095056
ASSADIATOU [2ème C],school,14.5355196,-4.0950259
ATT BOUGOU [1er C],school,14.52946,-4.11841
ATT BOUGOU [2ème CYCLE],school,14.529486,-4.1183952
BANGUETABA [2e C] I,school,14.5158979,-4.0975931
BANGUETABA [2e C] II,school,14.5158538,-4.0975871
BANGUETABA A,school,14.5158742,-4.097573
BANGUETABA B,school,14.5158648,-4.0975831
BANGUITA,school,15.2856301,-4.3569354
BARGONDAGA,school,14.53825,-4.19677
BOCARI OUOLOGUEM C,school,14.52635,-4.09076
BOCARI OUOLOGUEM D,school,14.52632,-4.09038
BOCARI OUOLOGUEM SC I,school,14.5266678,-4.0908344
BOCARI OUOLOGUEM SC II,school,14.5266542,-4.0908793
BOCARI OUOLOGUEM SC III SEVARE,school,14.5266412,-4.0908746
BOCARI OUOLOGUEM E,school,14.5266275,-4.0908626
COMPLEXE SCOLAIRE LASSINE SAMASSEKOU,school,14.5355177,-4.0950654
DAKA-WOMINA,school,14.7061747,-4.1161503
DEGOU,school,14.6895194,-3.9280449
DEN TANGASO,school,14.5354911,-4.0950446
DIAMBADOUGOU,school,14.6,-4.039
DIGUICIRE,school,14.67,-5.073
DIONDIORI,school,14.54,-4.115
DIONDIORI [2ème C],school,14.61,-4.775
DOUDEWAL,school,14.7,-4.922
DOUNDOU,school,14.54,-4.046
EAT [1er C],school,14.5327,-4.09711
EAT [1er C] ''B'',school,14.5326792,-4.0971073
École ARMEE de TERRE [2ème C],school,14.5355183,-4.0950393
École privée SOFARA [1er C],school,14.5354787,-4.095042
École privée SOFARA [2ème C],school,14.535517,-4.0950373
ECOM de WALADOU,school,15.2296454,-4.2543241
ECOM SOCOURA,school,14.55,-4.089
EXCELLENCE CHEICK A T DIARRA [1er C],school,14.5355066,-4.0950393
EXCELLENCE CHEICK A T DIARRA [2ème C],school,14.5355417,-4.0950748
FATOMA A,school,14.6100028,-4.060141
GADARI,school,14.73,-3.878
GEORGES BERTSCH [1er C],school,14.5355339,-4.0950292
GEORGES BERTSCH [2ème C],school,14.5354962,-4.0950359
GNIMIGNAMA,school,14.6,-4.97
GROUPE SCOLAIRE CISSE,school,14.5354995,-4.095048
GUILE,school,14.61,-4.88
GUIROWEL,school,14.6544966,-4.0871538
HADARATOU ISLAM [1er C],school,14.5354865,-4.0950487
HADARATOU ISLAM [2ème C],school,14.5355268,-4.0950681
IDRISSA SOW C,school,14.535504,-4.0950379
IDRISSA SOW [2ème C],school,14.5354924,-4.0949964
IHYAOULOUMIDINE [1er C],school,14.53553,-4.09505
IHYAOULOUMIDINE [2ème C],school,14.5354937,-4.0949736
JIGIYA,school,14.5354995,-4.0950332
KADIAL,school,14.6505294,-4.4391694
KINTA-FULBE,school,14.6240086,-4.8174701
KONDO,school,14.54208,-4.85288
KORA,school,14.5335417,-4.8854246
