name,type,lat,lon,nearby_conflict_date
MADOUGOU [1er C],school,14.4005209,-3.0785279,2018-11-19 00:00:00.000
MEDERSA SEBEKORO,school,12.9613061,-8.9849488,2023-01-08 00:00:00.000
SEBEKORO [2ème C],school,12.9604513,-8.9865156,2023-01-08 00:00:00.000
SEBEKORO I,school,12.9607916,-8.9867966,2023-01-08 00:00:00.000
SEBEKORO II,school,12.9661441,-8.9861154,2023-01-08 00:00:00.000
ANCARDINE [1er C],school,14.4846566,-4.1912522,2017-02-04 00:00:00.000
DOROBOUGOU,school,13.9890827,-4.3335134,2018-07-01 00:00:00.000
SIMA BAMBARA,school,14.0403478,-4.4626641,2021-09-23 00:00:00.000
BINTAGOUNGOU [1er C],school,16.7389366,-3.731734,1994-07-01 00:00:00.000
École Koumaga,school,13.9875291,-4.3971552,2018-06-23 00:00:00.000
MOURRAH [1er C],school,14.3310237,-4.6002165,2022-03-26 00:00:00.000
TAGA [1er C],school,13.9612929,-4.3989721,2022-11-12 00:00:00.000
TAGA [2ème C],school,13.9615667,-4.3990604,2022-11-12 00:00:00.000
SISSAKO,school,13.8827705,-6.1083174,2019-05-13 00:00:00.000
CSAK,school,12.7473554,-8.0645549,2012-04-30 00:00:00.000
École Privé Catholique,school,13.0163049,-4.464675,2021-03-27 00:00:00.000
Jardin enfant Municipal,school,13.3053235,-4.8929263,2021-03-04 00:00:00.000
Unnamed School,school,16.9408668,-0.5711792,2023-10-04 00:00:00.000
Unnamed School,school,15.9360661,0.214368,2023-11-21 00:00:00.000
Unnamed School,school,15.148185,0.3942267,2022-02-08 00:00:00.000
Unnamed School,school,14.6879304,-6.0225874,2008-05-06 00:00:00.000
Mamadou Tolo 2eme Cycle,school,14.3518085,-3.605876,2023-08-09 00:00:00.000
Ecole de Saneye,school,16.2745668,-0.0459301,1994-11-13 00:00:00.000
Ecole de Djebock,school,16.3441109,0.2794352,2023-03-14 00:00:00.000
ZAMBOUGOU [1er C],school,13.1651112,-6.5211301,2018-04-02 00:00:00.000
ZAMBOUGOU [2ème C],school,13.1648747,-6.5208593,2018-04-02 00:00:00.000
LABBEZANGA S/C,school,14.9747385,0.7028934,2023-05-12 00:00:00.000
Bô SANGARE [2ème C],school,12.2275333,-8.6369667,2023-02-02 00:00:00.000
CENTRE ISLAMIC de NARENA,school,12.2275333,-8.6369667,2023-02-02 00:00:00.000
DIALAKOROBA [2ème C] II,school,12.26605,-7.92665,2023-09-03 00:00:00.000
DIALAKOROBA [2ème C] I,school,12.26605,-7.92665,2023-09-03 00:00:00.000
DIALAKOROBA A. PC,school,12.26605,-7.92665,2023-09-03 00:00:00.000
DIALAKOROBA B,school,12.26605,-7.92665,2023-09-03 00:00:00.000
BOURA [1er C] B,school,12.41695,-4.5443167,2020-09-10 00:00:00.000
BOURA [2ème C],school,12.41695,-4.5443167,2020-09-10 00:00:00.000
BOURA [1er C]c A,school,12.4169212,-4.544312,2020-09-10 00:00:00.000
MEDERSAS FATOU HOUL SLAMIYATOU BOURA,school,12.4169572,-4.5443133,2020-09-10 00:00:00.000
Koury [1er C] D,school,12.1836902,-4.8043698,2019-05-19 00:00:00.000
